user_id,touch_position,touch_count,channel,is_first,is_last,conversion_date
U000000,1,2,Facebook Ads,True,False,2026-04-19
U000000,2,2,Zalo Ads,False,True,2026-04-19
U000001,1,3,Facebook Ads,True,False,2026-03-07
U000001,2,3,TikTok Ads,False,False,2026-03-07
U000001,3,3,Facebook Ads,False,True,2026-03-07
U000002,1,2,TikTok Ads,True,False,2026-04-11
U000002,2,2,Facebook Ads,False,True,2026-04-11
U000003,1,2,Facebook Ads,True,False,2026-03-10
U000003,2,2,Google Ads,False,True,2026-03-10
U000004,1,4,Facebook Ads,True,False,2026-04-30
U000004,2,4,TikTok Ads,False,False,2026-04-30
U000004,3,4,TikTok Ads,False,False,2026-04-30
U000004,4,4,TikTok Ads,False,True,2026-04-30
U000005,1,3,TikTok Ads,True,False,2026-03-17
U000005,2,3,Zalo Ads,False,False,2026-03-17
U000005,3,3,Google Ads,False,True,2026-03-17
U000006,1,2,Google Ads,True,False,2026-03-21
U000006,2,2,Zalo Ads,False,True,2026-03-21
U000007,1,1,Zalo Ads,True,True,2026-04-26
U000008,1,3,TikTok Ads,True,False,2026-04-05
U000008,2,3,Google Ads,False,False,2026-04-05
U000008,3,3,Zalo Ads,False,True,2026-04-05
U000009,1,3,TikTok Ads,True,False,2026-03-27
U000009,2,3,Google Ads,False,False,2026-03-27
U000009,3,3,Google Ads,False,True,2026-03-27
U000010,1,1,Google Ads,True,True,2026-04-18
U000011,1,3,TikTok Ads,True,False,2026-03-24
U000011,2,3,Zalo Ads,False,False,2026-03-24
U000011,3,3,Zalo Ads,False,True,2026-03-24
U000012,1,2,Facebook Ads,True,False,2026-04-21
U000012,2,2,Google Ads,False,True,2026-04-21
U000013,1,3,Google Ads,True,False,2026-04-24
U000013,2,3,Zalo Ads,False,False,2026-04-24
U000013,3,3,Google Ads,False,True,2026-04-24
U000014,1,3,TikTok Ads,True,False,2026-03-26
U000014,2,3,TikTok Ads,False,False,2026-03-26
U000014,3,3,TikTok Ads,False,True,2026-03-26
U000015,1,1,Google Ads,True,True,2026-03-16
U000016,1,1,Google Ads,True,True,2026-04-05
U000017,1,2,Google Ads,True,False,2026-04-01
U000017,2,2,Google Ads,False,True,2026-04-01
U000018,1,1,Zalo Ads,True,True,2026-03-16
U000019,1,3,TikTok Ads,True,False,2026-04-21
U000019,2,3,Facebook Ads,False,False,2026-04-21
U000019,3,3,Google Ads,False,True,2026-04-21
U000020,1,1,Google Ads,True,True,2026-03-25
U000021,1,3,Facebook Ads,True,False,2026-03-11
U000021,2,3,Facebook Ads,False,False,2026-03-11
U000021,3,3,Facebook Ads,False,True,2026-03-11
U000022,1,3,Facebook Ads,True,False,2026-04-19
U000022,2,3,Google Ads,False,False,2026-04-19
U000022,3,3,Google Ads,False,True,2026-04-19
U000023,1,1,Zalo Ads,True,True,2026-04-17
U000024,1,2,Facebook Ads,True,False,2026-03-11
U000024,2,2,TikTok Ads,False,True,2026-03-11
U000025,1,2,Facebook Ads,True,False,2026-03-05
U000025,2,2,Zalo Ads,False,True,2026-03-05
U000026,1,2,Facebook Ads,True,False,2026-03-03
U000026,2,2,Google Ads,False,True,2026-03-03
U000027,1,1,Google Ads,True,True,2026-03-12
U000028,1,1,TikTok Ads,True,True,2026-04-08
U000029,1,3,Zalo Ads,True,False,2026-04-27
U000029,2,3,Facebook Ads,False,False,2026-04-27
U000029,3,3,Zalo Ads,False,True,2026-04-27
U000030,1,2,Facebook Ads,True,False,2026-04-03
U000030,2,2,Zalo Ads,False,True,2026-04-03
U000031,1,2,Google Ads,True,False,2026-03-04
U000031,2,2,Google Ads,False,True,2026-03-04
U000032,1,2,Facebook Ads,True,False,2026-03-17
U000032,2,2,Facebook Ads,False,True,2026-03-17
U000033,1,1,TikTok Ads,True,True,2026-04-30
U000034,1,1,Zalo Ads,True,True,2026-03-06
U000035,1,2,Zalo Ads,True,False,2026-04-16
U000035,2,2,Facebook Ads,False,True,2026-04-16
U000036,1,4,Facebook Ads,True,False,2026-03-03
U000036,2,4,TikTok Ads,False,False,2026-03-03
U000036,3,4,Facebook Ads,False,False,2026-03-03
U000036,4,4,Zalo Ads,False,True,2026-03-03
U000037,1,2,Facebook Ads,True,False,2026-04-25
U000037,2,2,TikTok Ads,False,True,2026-04-25
U000038,1,2,Facebook Ads,True,False,2026-04-10
U000038,2,2,Facebook Ads,False,True,2026-04-10
U000039,1,2,Zalo Ads,True,False,2026-04-10
U000039,2,2,Google Ads,False,True,2026-04-10
U000040,1,2,TikTok Ads,True,False,2026-03-26
U000040,2,2,TikTok Ads,False,True,2026-03-26
U000041,1,3,Facebook Ads,True,False,2026-04-08
U000041,2,3,TikTok Ads,False,False,2026-04-08
U000041,3,3,Zalo Ads,False,True,2026-04-08
U000042,1,2,TikTok Ads,True,False,2026-04-29
U000042,2,2,Google Ads,False,True,2026-04-29
U000043,1,1,Zalo Ads,True,True,2026-04-05
U000044,1,4,Facebook Ads,True,False,2026-04-15
U000044,2,4,Facebook Ads,False,False,2026-04-15
U000044,3,4,Google Ads,False,False,2026-04-15
U000044,4,4,Google Ads,False,True,2026-04-15
U000045,1,2,TikTok Ads,True,False,2026-03-24
U000045,2,2,Google Ads,False,True,2026-03-24
U000046,1,1,Facebook Ads,True,True,2026-03-13
U000047,1,4,TikTok Ads,True,False,2026-03-27
U000047,2,4,TikTok Ads,False,False,2026-03-27
U000047,3,4,Zalo Ads,False,False,2026-03-27
U000047,4,4,Google Ads,False,True,2026-03-27
U000048,1,2,Facebook Ads,True,False,2026-03-14
U000048,2,2,Google Ads,False,True,2026-03-14
U000049,1,3,Facebook Ads,True,False,2026-04-12
U000049,2,3,TikTok Ads,False,False,2026-04-12
U000049,3,3,Facebook Ads,False,True,2026-04-12
U000050,1,4,Facebook Ads,True,False,2026-04-01
U000050,2,4,Google Ads,False,False,2026-04-01
U000050,3,4,Google Ads,False,False,2026-04-01
U000050,4,4,Facebook Ads,False,True,2026-04-01
U000051,1,1,Google Ads,True,True,2026-03-23
U000052,1,4,TikTok Ads,True,False,2026-03-31
U000052,2,4,Zalo Ads,False,False,2026-03-31
U000052,3,4,Facebook Ads,False,False,2026-03-31
U000052,4,4,Google Ads,False,True,2026-03-31
U000053,1,4,Facebook Ads,True,False,2026-04-25
U000053,2,4,Google Ads,False,False,2026-04-25
U000053,3,4,Zalo Ads,False,False,2026-04-25
U000053,4,4,Google Ads,False,True,2026-04-25
U000054,1,3,Facebook Ads,True,False,2026-03-08
U000054,2,3,Facebook Ads,False,False,2026-03-08
U000054,3,3,Google Ads,False,True,2026-03-08
U000055,1,1,TikTok Ads,True,True,2026-03-31
U000056,1,2,TikTok Ads,True,False,2026-04-07
U000056,2,2,Google Ads,False,True,2026-04-07
U000057,1,1,Zalo Ads,True,True,2026-03-24
U000058,1,2,Facebook Ads,True,False,2026-04-24
U000058,2,2,Google Ads,False,True,2026-04-24
U000059,1,2,TikTok Ads,True,False,2026-03-26
U000059,2,2,Google Ads,False,True,2026-03-26
U000060,1,3,Facebook Ads,True,False,2026-04-18
U000060,2,3,TikTok Ads,False,False,2026-04-18
U000060,3,3,Facebook Ads,False,True,2026-04-18
U000061,1,2,TikTok Ads,True,False,2026-03-28
U000061,2,2,Facebook Ads,False,True,2026-03-28
U000062,1,3,Facebook Ads,True,False,2026-04-13
U000062,2,3,TikTok Ads,False,False,2026-04-13
U000062,3,3,Google Ads,False,True,2026-04-13
U000063,1,2,Facebook Ads,True,False,2026-03-05
U000063,2,2,Google Ads,False,True,2026-03-05
U000064,1,1,Zalo Ads,True,True,2026-03-28
U000065,1,3,Facebook Ads,True,False,2026-04-30
U000065,2,3,Google Ads,False,False,2026-04-30
U000065,3,3,Facebook Ads,False,True,2026-04-30
U000066,1,4,TikTok Ads,True,False,2026-03-13
U000066,2,4,Facebook Ads,False,False,2026-03-13
U000066,3,4,TikTok Ads,False,False,2026-03-13
U000066,4,4,Zalo Ads,False,True,2026-03-13
U000067,1,2,TikTok Ads,True,False,2026-04-23
U000067,2,2,Google Ads,False,True,2026-04-23
U000068,1,3,TikTok Ads,True,False,2026-04-26
U000068,2,3,TikTok Ads,False,False,2026-04-26
U000068,3,3,Google Ads,False,True,2026-04-26
U000069,1,1,Google Ads,True,True,2026-04-22
U000070,1,1,Google Ads,True,True,2026-04-13
U000071,1,1,Google Ads,True,True,2026-04-17
U000072,1,1,Zalo Ads,True,True,2026-03-10
U000073,1,2,TikTok Ads,True,False,2026-04-20
U000073,2,2,Facebook Ads,False,True,2026-04-20
U000074,1,3,TikTok Ads,True,False,2026-03-02
U000074,2,3,Facebook Ads,False,False,2026-03-02
U000074,3,3,Zalo Ads,False,True,2026-03-02
U000075,1,3,Facebook Ads,True,False,2026-03-02
U000075,2,3,Google Ads,False,False,2026-03-02
U000075,3,3,Facebook Ads,False,True,2026-03-02
U000076,1,1,Google Ads,True,True,2026-04-19
U000077,1,1,Google Ads,True,True,2026-04-30
U000078,1,2,Google Ads,True,False,2026-03-16
U000078,2,2,TikTok Ads,False,True,2026-03-16
U000079,1,4,Facebook Ads,True,False,2026-04-03
U000079,2,4,TikTok Ads,False,False,2026-04-03
U000079,3,4,Zalo Ads,False,False,2026-04-03
U000079,4,4,Google Ads,False,True,2026-04-03
U000080,1,2,Facebook Ads,True,False,2026-04-09
U000080,2,2,Zalo Ads,False,True,2026-04-09
U000081,1,3,TikTok Ads,True,False,2026-04-26
U000081,2,3,TikTok Ads,False,False,2026-04-26
U000081,3,3,Facebook Ads,False,True,2026-04-26
